source_page,serial_number,name,identification,delivery,assignment,off_inventory,circumstances
62,44-61667,,CIRCW 18 (1) 5/10/1945,505BG,,3/29/1954,Reclaimed Davis-Monthan
62,44-61669,FLAG SHIP 500,z 49 5/8/1945,500BG,,5/10/1954,Reclaimed Davis-Monthan
62,44-61669,FLAG SHIP 500,Z SQ 49 (2) 5/8/1945,500BG,,5/10/1954,Reclaimed Davis-Monthan
62,44-61669,MISSION INN,CIRCLE W,92BW,,10/19/1950,Transferred to 19bg when 92nd rotated
62,44-61669,MISSION INN,BLKSTRP,19BG,,,Unknown
62,44-61669,MISSION INN,CIRCLEE,22BG,,,Unknown
62,44-61670,LADY FRANCIS,TRI N 25 5/8/1945,444BG,,5/10/1954,Reclaimed
62,44-61670,,BLKSQK 5/8/1945,330BG,,5/10/1954,Reclaimed Davis-Monthan
62,44-61671,,CIRCR,6BG,,,Unknown
62,44-61672,,TRI I 37 5/7/1945,468BG,,9/27/1954,Reclaimed
62,44-61673,,5/9/1945,,,5/10/1954,Reclaimed Davis-Monthan
62,44-61674,JOHNNY REBEL,TRI I 53 5/7/1945,468BG,,3/28/1954,Reclaimed Davis-Monthan
62,44-61675,,CIRCR 5/1111945,6BG,,9/22/1953,Reclaimed Pyote
62,44-61676,CITY OF FLINT,BLKSQO 49 5/8/1945,29BG,,6/17/1953,Reclaimed
62,44-61676,SAD SAC,SQUAREH 5/8/1945,98BG,,6/17/1953,Reclaimed
62,44-61676,,SPEED WING 5/8/1945,307BG,,6/17/1953,Reclaimed
62,44-61676,,SQUAREY 5/8/1945,307BG,,6/17/1953,Reclaimed
62,44-61677,SOUTHERN BELL,TRI I 35 5/9/1945,468BG,,6/23/1954,Reclaimed
62,44-61677,,5/9/1945,581ARC,,6/23/1954,Reclaimed Clark Field
62,44-61678,MAIDEN'S PRAYER,T 28 (3),498BG,,,Survived war
62,44-61678,,SQUARE EMPTY,2BG,,7/25/1951,Salvaged
62,44-61679,,5/10/1945,6BG,,6/9/1948,Reclaimed
62,44-61680,,BLKSQM 5/12/1945,19BG,,7/9/1948,Reclaimed
62,44-61681,,TRI I 57 5/1111945,468BG,,3/19/1954,Reclaimed
62,44-61681,,5/1111945,581ARC,,3/19/1954,Salvaged at Wheelus
62,44-61682,,5/14/1945,,,5/10/1954,Reclaimed Davis-Monthan
62,44-61683,,5/10/1945,,,5/10/1954,Reclaimed Davis-Monthan
62,44-61684,SILVER THUNDER,ZSQ22 9/27/1944,500BG,,,Tail code change
62,44-61684,SILVER THUNDER,z 22 5/10/1945,500BG,,,Survived war
62,44-61684,,SQUAREY 5/10/1945,307BG,,6/13/1952,Salvaged
62,44-61685,BARBARAANN,z 21 (2) 5/1111945,500BG,,5/10/1954,Reclaimed Davis-Monthan
62,44-61686,,CIRCR38 5/1111945,6BG,,9/22/1953,Reclaimed Pyote
62,44-61687,,5/1111945,,,9/22/1953,Reclaimed
62,44-61688,,CIRCR 10 5/1111945,6BG,,12/3/1950,Transferred to RAF
62,44-61688,,12/3/1950,RAF,,7/22/1953,Returned to USAF
62,44-61688,,7/22/1953,USAF,,,Unknown
62,44-61689,,CIRCX28 (3) 5/14/1945,9BG,,12/4/1945,Condemned
62,44-61690,,V? 5/12/1945,499BG,,,Survived war
62,44-61690,,CIRCE,22BG,,6/17/1953,Reclaimed
62,44-61691,,CIRCX50 5/12/1945,9BG,,9/2111949,Transferred to Army
63,44-61714,,511911945,326BU,511611950,Transferred,to RAF
63,44-61714,,511611950,RAF,911611958,Scrapped,in England
63,44-61715,CIRCW,16 5/18/1945,497BG,912211953,Reclaimed,
63,44-61716,A,5/18/1945,,112411947,Lost,returning to ZI
63,44-61717,,5/2311945,303BG,31111953,Reclaimed,
63,44-61718,BLKSTRP,5/18/1945,19BG,711411954,Salvaged,at Davis-Monthan
63,44-61719,,5/18/1945,,611711953,Reclaimed,
63,44-61720,HONEY SQUAREH,511911945 5/2211945,29BG 98BG,911411954 7/18/1945,Reclaimed Surveyed,
63,44-61722,,5/2311945,326BU,9/8/1954,Reclaimed,
63,44-61723,,511911945,3510TTW,1111211953,Reclaimed,Robins
63,44-61724,,5/2111945,4105BU,711411954,Salvaged,at Davis-Monthan
63,44-61725,,5/2411945,307BG,5/511954,Reclaimed,Davis-Monthan
63,44-61726,"SQUAREY TIRED, 7 TO 7",511911945,91RCN 505BG,6/2711954 71411952,Reclaimed Shot,Kadena down by Mig's
63,44-61728,,5/2111945,4105BU,121311950,Transferred,to RAF
63,44-61728,,121311950,RAF,11511954,Returned,to USAF
63,44-61728,,11511954,USAF,711411954,Reclaimed,Davis-Monthan
63,44-61729,,511911945,241BU,5/10/1954,Reclaimed,Davis-Monthan
63,44-61730,,511911945,43BG,1111211953,Reclaimed,Robins
63,44-61731,CIRCLEK,5/2211945,4105BU,5/511945,Reclaimed,Davis-Monthan
63,44-61732,,5/2111945,3510FTW,91911954,Salvaged,at Davis-Monthan
63,44-61733,SEVEN TSQ06,5/2111945,498BG 498BG,511911946,Unknown Converted,to weather plane
63,44-61734,,113011951,54WRS,,Unknown,
63,44-61735,,5/2111945,4117BU,1111211953,Reclaimed,Robins
63,44-61736,,5/2311945,500BG,912211953,Reclaimed,Davis-Monthan
63,44-61737,ZSQI,,,11311945,Lost,on Nagoya mission
63,44-61738,,5/2211945,513WRS,3/3011954,Reclaimed,
63,44-61739,,5/2411945,581ARCW,5/3111954,Reclaimed,
63,44-61740,,5/2311945,4141BU,912211953,Reclaimed,Davis-Monthan
63,44-61741,,5/2411945,68BW3,711511953,Reclaimed,Davis-Monthan
63,44-61742,,5/2311945,3121ERE,8/1611954,Reclaimed,
64,44-61743,,TRIANGLE 0 5/25/1945,97BG,,6/29/1950,Transferred to RAF
64,44-61743,,5/25/1945,326BU,,6/29/1950,Transferred to RAF
64,44-61743,,6/29/1950,RAF,,10/20/1953,Returned to USAF
64,44-61743,,,10/20/1953 USAF,,7/14/1954,Reclaimed Davis-Monthan
64,44-61744,,5/24/1954,462BG,,11112/1953,Reclaimed Robins
64,44-61745,,TRIU 5/26/1945,40BG,,8/5/1948,Salvaged at Harmon
64,44-61746,,TRIS 5/25/1945,40BG,,12/22/1948,Salvaged at Harmon
64,44-61747,,TRIS 6/19/1945,31SR,,3/3111953,Surveyed at Kadena
64,44-61748,HAWGWILD,SQUAREY 5/26/1945,307BG,,6/27/1954,Salvaged at Kadena
64,44-61748,IT'S HAWG WILD,SQUAREY 5/26/1945,307BG,,6/27/1954,Salvaged at Kadena
64,44-61749,SOUTHERN COMFORT,BLKSTRPBLU 5/25/1945,19BG,,12/13/1950,Salvaged at Itazuke
64,44-61750,,5/26/1945,19BG,,5/5/1954,Reclaimed Davis-Monthan
64,44-61751,,BLKSQM,19BG,,,Survived war
64,44-61751,LUBRICATING LADY,BLKSTRPRED,19BG,,10/3111952,Ditched offKadena
64,44-61752,,5/28/1945,19BG,,5/10/1954,Reclaimed Davis-Monthan
64,44-61753,,5/28/1945,68BG,,7/14/1953,Reclaimed Davis-Monthan
64,44-61754,,5/26/1945,582ARC,,3/7/1954,Reclaimed
64,44-61755,,5/26/1945,4141BU,,9/22/1953,Reclaimed Pyote
64,44-61756,USS PINTADO,BLKSQK 13 5/28/1945,330BG,,6/8/1948,Salvaged Guam
64,44-61757,,T 24 (2) 5/28/1945,498BG,,,Survived war
64,44-61757,,TRIANGLE 0 5/28/1945,97BG,,,Unknown
64,44-61757,,SQUAREY 5/28/1945,307BG,,7/14/1954,Salvaged at Davis-Monthan
64,44-61758,,,,,8/5/1945,Unknown
64,44-61759,,5/29/1945,4105BU,,5/5/1954,Reclaimed Davis-Monthan
64,44-61760,,CIRCX 17(3) 5/29/1945,9BG,,7/25/1949,Salvaged at Kelly
64,44-61761,,5/29/1945,68BG,,7/28/1953,Reclaimed Davis-Monthan
64,44-61762,,5/28/1945,4105BU,,5/10/1954,Reclaimed Davis-Monthan
64,44-61763,,5/29/1945,308BG,,11/9/1953,Reclaimed Randolph
64,44-61764,,5/30/1945,303BG,,9/28/1954,Reclaimed McClellan
64,44-61765,,5/30/1945,308BG,,9/22/1953,Reclaimed Davis-Monthan
64,44-61766,,T? 5/3111945,498BG,,9/17/1953,Reclaimed Davis-Monthan
64,44-61767,,5/30/1945,19BG,,12/3111950,Reclaimed Kelly
64,44-61768,,BLKSQM 5/3111945,19BG,,9/22/1953,Reclaimed Pyote
64,44-61769,,5/30/1945,581ARC,,9/8/1954,Reclaimed Davis-Monthan
64,44-61770,,5/30/1945,4141BU,,9/22/1953,Reclaimed Pyote
64,44-61771,,SQUAREY 5/30/1945,307BG,,6/27/1954,Reclaimed
64,44-61772,,5/3111945,4141BU,,9/22/1953,Reclaimed
64,44-61773,,5/3111945,303BG,,3/111953,Reclaimed Davis-Monthan
64,44-61774,,5/3111945,300ABU,,10/111954,Reclaimed
64,44-61775,,T SQ34 (3) 5/3111945,498BG,,,Survived war
64,44-61775,,TRIANGLE 0 5/3111945,97BG,,6/28/1949,Salvaged at Marham
64,44-61776,RAPID RABBIT [7],SQUAREH,98BG,,3/3111952,Engine failure; abnd 3 miles from Kansong
64,44-61776,[7],DIAML 56,331BG,,,Converted to WB-29
64,44-61776,,TRI N 59 (2),444BG,,9/00/45,Transfer to 331BG
64,44-61777,,6/111945,,,12/3111945,Surveyed overseas
64,44-61778,,CIRCW 6/111945,505BG,,9/111954,Reclaimed
64,44-61779,,6/9/1945,3171EREG,,8/16/1954,Reclaimed Griffis
64,44-61780,,6/111945,582ARC,,3/10/1954,Reclaimed Molesworth
64,44-61781,,T 57 6/4/1945,498BG,,9/22/1953,Reclaimed Pyote
64,44-61782,LITTLE FELLOW,z 09 (2) 6/2/1945,500BG,,9/9/1953,Reclaimed Clark Field
64,44-61783,,6/2/1945,,,7/14/1954,Reclaimed McClellan
64,44-61784,,CIRCR07 6/4/1945,6BG,,9/22/1953,Reclaimed Pyote
64,44-61785,,A 6/5/1945,497BG,,9/13/1954,Reclaimed Davis-Monthan
64,44-61786,,TRIU 6/5/1945,462BG,,9/4/1945,Crashed on takeoff
64,44-61787,,TRIANGLE 0 6/4/1945,97BW,,3/16/1950,Transferred to RAF
64,44-61787,,,3/16/1950 RAF,,7/5/1958,Broken up at Shoeburyness
64,44-61788,,CIRCW 10 (3),505BG,,11/20/1951,Salvaged
64,44-61789,,Z SQ38 (2) 6/6/1945,500BG,,8/3111948,"Salvaged at North Field, Guam"
64,44-61790,PEACE ON EARTH,BLKSTRPRED 6/4/1945,19BG,,,Ditched returning to ZI
64,44-61790,PEACE ON EARTH,CIRCLE W 6/4/1945,92BG,,10/00/50,Transferred to 19BG when Group rotated
64,44-61790,PEACE ON EARTH,6/4/1945,10/00/50,,7/14/1954,Reclaimed McClellan
64,44-61791,,BLK SQM 16 (2) 6/7/1945,19BG,,,Survived the war
64,44-61792,,CIRCE63 6/5/1945,504BG,,3/15/1950,Transferred to RAF
64,44-61792,,TRIANGLE 0 6/5/1945,97BG,,3/15/1950,Transferred to RAF
64,44-61793,,6/7/1945,59RCN,,10/16/1946,Salvaged at Eglin
65,44-61796,CENTURY LIM. CENTURY LIMITED,6/8/1945 ZSQ CIRCX36 (3),59RCN 500BG 9BG,912211953 121411952,Reclaimed Transferred Salvaged,Pyote to 9BG at Smoky Hill
65,44-61798,,61711945,59RCN,911611946,Salvaged,at Eglin
65,44-61799,,6/1111945,4105BU,5/10/1954,Reclaimed,Davis-Monthan
65,44-61800,,CIRCX65 61711945,9BG,91311953,Reclaimed,Davis-Monthan
65,44-61801,,61711945,,911011947,Surveyed,overseas
65,44-61802,,SQUAREY,307BG,111011953,Mig,"damage at Yalu, abandoned"
65,44-61802,N'ROLL,CIRCLE W 61711945 CIRCR55 6/8/1945,92BG 6BG,10/00/50 6/3011949,Transferred Salvaged,to 307BG when 92nd rotated at Kelly
65,44-61804,,611211945,4117BU,1111211953,Reclaimed,Robins
65,44-61805,,BLKSQO 6/8/1945,29BG,712011953,Reclaimed,Davis-Monthan
65,44-61806,,,,211911948,Class,OIZ
65,44-61807,,TRI I 3 61911945,468BG,111911953,Reclaimed,Randolph
65,44-61808,EM!,611211945 SQUAREH 6/8/1945,98BG,8/1911954 911311953,Reclaimed Reclaimed,Hill Davis-Monthan
65,44-61809,,A 6/8/1945 CIRCLEX,497BG 91RCN,911311953 611311952,Reclaimed Missing-possible,Davis-Monthan USSR shoot-down
65,44-61811,II PRINCESS,6/1411945 TRIS 09 (2) 6/1311945 SQUARE V 6/1411945 TRIN 6/1411945,4141BU 40BG 55RCN 444BG,912211953 912211953 1211911950 1211911950,Reclaimed Reclaimed Reclaimed Reclaimed,"Pyote Davis-Monthan Johnson AB, Japan Johnson AB, Japan"
65,44-61814,RAIDERS TIMES MOONBEAM,6/1411945 DIAMONDL 6/1511945 DIAMONDL 6/1511945 CIRCLEX 6/1511945 SQUAREH BLKSTRPBLU,308BG 331BG 331BG 5RCN 98BG 19BG,91111954 711011952 711011952,Salvaged Survived Survived Transferred Salvaged Salvaged,Randolph war war to 19BG or 98BG
65,44-61816,,TRI I 45 6/1511945,468BG,612711954,Reclaimed,Kadena
65,44-61816,,SQUARE EMPTY 6/1511945,2BG,612711954,Reclaimed,Kadena
65,44-61816,,SQUAREY 6/1511945 CIRCX 6/1511945 6/1511945 6/1611945,307BG 91RCN 91SRP 31PHRCN,612711954 711411954 711411954 8/2611954,Reclaimed Salvaged Salvaged Reclaimed,Kadena at Davis-Monthan at Davis-Monthan Yokota
65,44-61819,,SQUARE! 6/18/1945,91RCN,121311955,Reclaimed,Eglin
65,44-61820,VENTURE BELLE OF BIKINI KNOWN LADEN COME HOME,CIRCLE Z 6/18/1945 TRI N 45 6/1411945 SQUAREH 6/1411945 SQUAREH 6/1411945 SQUAREH 6/1411945 TRIU 6/1511945,444BG 98BG 98BG 98BG 462BG,31111953 711411954 8/1911954 8/1911954 8/1911954 10/28/1945,Reclaimed Salvaged Crashed Crashed Crashed Salvaged,Davis-Monthan at Davis-Monthan south of Yokota south of Yokota south of Yokota at Lowry
65,44-61824,,SQUAREY 6/1511945,307BG,612711954,Reclaimed,Kadena
65,44-61825,,612711945,582ARC,712011945,Reclaimed,Tinker
65,44-61827,,6/1511945,4141BU,912211953,Reclaimed,Pyote
65,44-61828,,828 612211945,320BG,9/28/1954,Reclaimed,McClellan
65,44-61829,MAN A TIGER DRAGON DRAGON,6/18/1945 SQUAREH 6/2511945 BLKSTRP 6/2511945 CIRCLE W 6/2511945,68BW 98BG 19BG 92BG,611711953 711411954 711411954 10/00/50,Reclaimed Reclaimed Reclaimed Transferred,Davis-Monthan Davis-Monthan Davis-Monthan to 19hg when 92nd rotated
65,44-61830,,BLKSTRP 10/00/50,19BG,711411954,Received,when 92BG rotated
65,44-61831,,SQUAREH 6/1511945,98BG,8/1611954,Reclaimed,Davis-Monthan
65,44-61832,,6/18/1945,24BG,8/511948,Salvaged,at Harmon
65,44-61833,FREIGHT IV LADY,6/1611945 SQUAREH 6/28/1945 BLKSTRPBLU,98BG 19BG,712011953 611711954 10/3111951,"Reclaimed Class Exploded,",Davis-Monthan 26 crashed 15 minutes after T 10
65,44-61836,,CIRCR41 6/1511945,6BG,,Survived,War
65,44-61836,,TRIU 6/1511945,462BG,311611954,Reclaimed,
65,44-61837,,6/1611945,4141BU,912211953,Reclaimed,
65,44-61838,,SQUARE A 6/1611945,301BG,61211953,Reclaimed,Davis-Monthan
65,44-61839,,6/18/1945,4141BU,912211953,Reclaimed,Pyote
65,44-61840,,CIRCX57 6/1511945,9BG,51611949,Salvaged,at Kelly
65,44-61841,,6/1611945,308??,111911953,Reclaimed,Randolph
65,44-61842,,611911945,19BG,6/3011949,Salvaged,at Kelly
66,44-61843,MARGIE'S MAD GREEK III,6/19/1945,71RG,,8/26/1954,Reclaimed
66,44-61843,,6/19/1945,31SRP,,8/26/1954,Reclaimed
66,44-61844,,6/16/1945,4141BU,,9/22/1953,Reclaimed
66,44-61845,PACIFIC PRINCESS (?),TRIN 6/19/1945,444BG,,,Survived war
66,44-61845,,6/19/1945,90SRC,,7/13/1953,Reclaimed
66,44-61846,,7/24/1945,4141BU,,9/22/1953,Reclaimed Pyote
66,44-61847,,,,,7/13/1950,Surveyed
66,44-61848,,TRIS 19 6/18/1945,40BG,,,Survived war
66,44-61848,,CIRCLEE 6/18/1945,22BG,,3/18/1949,Reclaimed Petersen
66,44-61849,,6/22/1945,4135BU,,2/10/1948,Reclaimed Hill
66,44-61850,,6/20/1945,3510TTW10/8/53,,10/8/1953,Reclaimed
66,44-61851,LA BOHEME,6/2111945,68BG,,1119/1953,Reclaimed Randolph
66,44-61852,,6/19/1945,581ASL,,11130/1953,Reclaimed Clark Field
66,44-61853,,6/26/1945,3415TTW,,3/17/1954,Reclaimed Davis-Monthan
66,44-61854,BUTTERFLY BABY,6/20/1945,31SRP,,7/14/1954,Reclaimed Davis-Monthan
66,44-61855,,6/2111945,31SRP,,,Unknown
66,44-61856,,6/22/1945,308??,,9/9/1954,Reclaimed Randolph
66,44-61857,,6/2111945,4105BU,,8/19/1954,Reclaimed Kelly
66,44-61858,,6/20/1945,247BU,,9/17/1946,Surveyed McChord
66,44-61859,,6/2111945,68BG,,9/9/1954,Salvaged at Davis-Monthan
66,44-61860,,6/22/1945,55SRC,,5/18/1953,Reclaimed Robins
66,44-61861,,SQUAREY 6/23/1945,307BG,,6/27/1954,Reclaimed Kadena
66,44-61862,,6/22/1945,FEAF,,4/29/1948,Salvaged overseas
66,44-61863,,6/22/1945,247BU,,3/3111949,Reclaimed Tinker
66,44-61864,,6/23/1945,303BG,,3/111953,Reclaimed Davis-Monthan
66,44-61865,,CIRCLET 6/22/1945,44BG,,6/17/1953,Reclaimed Davis-Monthan
66,44-61866,,6/22/1945,4105BU,,11117/1953,Reclaimed Kelly
66,44-61867,,,,,5/20/1952,Salvaged
66,44-61868,,6/23/1945,3415TTW,,8/27/1953,Reclaimed Davis-Monthan
66,44-61869,,6/25/1945,376BG,,115/1953,Reclaimed Davis-Monthan
66,44-61870,,6/29/1945,3415TTW,,3/17/1954,Reclaimed Davis-Monthan
66,44-61871,,6/25/1945,3510FTW,,7/14/1954,Salvaged at Davis-Monthan
66,44-61872,ACE IN THE HOLE,SQUAREH 6/28/1945,98BG,,9/13/1954,Reclaimed Davis-Monthan
66,44-61872,SAC'S APPEAL,SQUAREH 6/28/1945,98BG,,9/13/1954,Reclaimed Davis-Monthan
66,44-61872,,6/28/1945,307BG,,9/13/1954,Reclaimed Davis-Monthan
66,44-61873,,6/25/1945,581ARC,,115/1954,Reclaimed
66,44-61874,,SQUAREH 6/25/1945,98BG,,10/4/1953,Reclaimed Davis-Monthan
66,44-61875,,6/23/1945,308BG,,7/16/1953,Reclaimed Davis-Monthan
66,44-61876,,6/25/1945,4127BU,,9/27/1954,Reclaimed McClellan
66,44-61877,,6/25/1945,376BG,,115/1953,Reclaimed Davis-Monthan
66,44-61878,,SQUAREH 6/25/1945,98BG,,7/22/1953,Reclaimed
66,44-61879,,6/27/1945,68BG,,9/29/1953,Reclaimed Davis-Monthan
66,44-61880,,6/27/1945,3415TTW,,7/14/1954,Salvaged at Davis-Monthan
66,44-61881,,6/26/1945,308BG,,9/13/1953,Reclaimed Davis-Monthan
66,44-61882,,6/26/1945,54WRS,,8/19/1954,Reclaimed Hill
66,44-61883,,6/30/1945,301BG,,5/16/1950,Transferred to RAF
66,44-61883,,5/16/1950,RAF,,7/22/1953,Returned to USAF
66,44-61883,,7/22/1953,USAF,,9/8/1954,Reclaimed
66,44-61884,,6/27/1945,580ARC,,6/20/1954,Reclaimed
66,44-61885,,SQUARE A 6/28/1945,301BG,,,Converted to WB-29
66,44-61885,,6/28/1945,56WRS,,9/111954,Salvaged Yokota
66,44-61886,,6/25/1945,310BW,,1119/1953,Reclaimed Randolph
66,44-61887,,6/25/1945,303BW,,3/111953,Reclaimed Davis-Monthan
66,44-61888,,6/25/1945,54WRS,,3/9/1954,Reclaimed
66,44-61889,,6/27/1945,429BU,,1112111950,Transferred to RAF
66,44-61889,,11/2111950,RAF,,2/22/1954,Returned to USAF
66,44-61889,,2/22/1954,USAF,,8/18/1954,Transferred to Navy
66,44-61890,,SQUARE A 6/28/1945,301BG,,12/6/1948,Salvaged at Peterson
66,44-61891,,6/26/1945,373WRS,,9/22/1953,Reclaimed Pyote
66,44-61892,,6/26/1945,247BU,,9/22/1953,Reclaimed Pyote
66,44-61893,,SQUARE A 6/27/1945,301BG,,,Converted to WB-29
66,44-61893,,6/27/1945,56WRS,,9/111954,Reclaimed
66,44-61894,,SQUAREH 6/28/1945,98BG,,2/1111951,Transferred to RAF
66,44-61894,,2/11/1951,RAF,,118/1953,Crashed England
66,44-61895,,6/26/1945,427BU,,12/111950,Transferred to RAF
67,44-61895,,12/1/1950,RAF,,8/1/1953,Returned to USAF
67,44-61895,,8/111953,USAF,,711411954,Reclaimed Davis-Monthan
67,44-61896,SQUAREH,6/28/1945,98BG,,8/1611954,Reclaimed Davis-Monthan
67,44-61897,SQUARE,A 6/2711945,301BG,,311511950,Transferred to RAF
67,44-61897,,311511950,RAF,,8/8/1957,Broken up Shoeburyness
67,44-61898,376BW,6/28/1945,376BW,,511511951,Transferred to RAF
67,44-61898,,511511951,RAF,,11511954,Returnerd to USAF
67,44-61898,,11511954,USAF,,711411954,Salvaged
67,44-61899,,6/28/1945,68BW,,8/1611954,Reclaimed Davis-Monthan
67,44-61900,,6/28/1945,303BW,,711411954,Reclaimed McClellan
67,44-61901,,6/2911945,56WRS,,3/911954,Reclaimed
67,44-61902,BLKSTRPGRN,,19BG,,,Unknown
67,44-61903,,6/2911945,68BW,,111911953,Reclaimed Randolph
67,44-61904,,6/3011945,376BW,,7/2211954,Reclaimed Wright-Patterson
67,44-61905,CIRCR,18 6/2911945,6BG,,5/911954,Reclaimed
67,44-61906,,6/2911945,320BW,,9/28/1954,Reclaimed McClellan
67,44-61907,,6/2911945,308BW,,3/2711954,Reclaimed Tinker
67,44-61908,SQUAREY,,307BG,,211/1951,"Mid-air with 42-65392, crashed in sea"
67,44-61909,,6/2911945,301BG,,,Convened to WB-29
67,44-61909,,6/2911945,54WRS,,9/2211954,Reclaimed Tinker
67,44-61910,,711711945,2759EXPG,,711511954,Reclaimed Tinker
67,44-61911,,6/3011945,4141BU,,9/2211953,Reclaimed Pyote
67,44-61912,,6/3011945,68BW,,7/2211952,Surveyed
67,44-61913,,6/3011945,,,911311954,Reclaimed Davis-Monthan
67,44-61914,,7/211945,376BG,,11511953,Reclaimed Davis-Monthan
67,44-61915,,6/3011945,376BG,,11411953,Reclaimed Davis-Monthan
67,44-61916,,7/611945,54RCN,,9/2211953,Reclaimed Pyote
67,44-61917,,6/3011945,376BG,,11611953,Reclaimed Davis-Monthan
67,44-61918,SQUARE!,6/3011945,91RCN,,9/911954,Salvaged at Davis-Monthan
67,44-61919,,6/3011945,310BG,,6/1711953,Reclaimed Davis-Monthan
67,44-61920,BLKSTRP,6/3011945,19BG,,911511954,Reclaimed Davis-Monthan
67,44-61921,,7/211945,236BU,,9/2211953,Reclaimed Pyote
67,44-61922,,7/211945,llRDC,,711411954,Salvaged at Davis-Monthan
67,44-61923,CIRCLEW,7/211945,92BG,,711311950,Crashed near Gogo Island
67,44-61924,SPOKANE SQUAREH,9/411945,98BG,,6/211952,Surveyed Unknown
67,44-61925,CIRCLEW,,92BG,,,Unknown
67,44-61926,,7/311945,,,9/911954,Salvaged at Davis-Monthan
67,44-61927,SQUAREH,7/211945,98BG,,8/1611954,Reclaimed Davis-Monthan
67,44-61928,SQUAREY BUCKET HONSHOS SQUARE!,7/211945 7/311945,307BG 91RCN,,10/511954 10/511954,Reclaimed Davis-Monthan Reclaimed McClellan
67,44-61930,,7/511945,4136BU,,5/2711948,Salvaged at Tinker
67,44-61931,CIRCLEX GIRL SQUAREH GAL BLKSTRP,7/511945,5RCN 98BG 19BG,,711411954 10/2411951 1112311951,"Salvaged at Davis-Monthan Shot down Wonson Harbor, Korea Surveyed with 98th BG"
67,44-61933,,,,,11128/1951,Salvaged
67,44-61934,,7/311945,5RCN,,7/28/1954,Salvaged
67,44-61935,CIRCLET,7/511945,44BG,,711411954,Salvaged at Davis-Monthan
67,44-61936,SQUAREH,8/611945,98BG,,911311954,Reclaimed
67,44-61937,,,,,7/3111951,Transferred to RAF
67,44-61937,,711311951,RAF,,411711958,Broken up; scrapped
67,44-61938,,7/911945,98BG,,211111951,Transferred to RAF
67,44-61938,,211111951,RAF,,8/1111953,Returned to USAF
67,44-61938,,8/1111953,USAF,,711411954,Salvaged
67,44-61939,NORTH CAROLINA SQUAREY,,55RCN 307BG,,5/511952 10/2311951,Surveyed Lost Namsi Airfield raid
67,44-61940,,,97BG,,1112311951,Salvaged
67,44-61941,,7/511945,3510FTW,,4/711953,Salvaged Randolph
67,44-61942,,7/511945,4105BU,,6/1711953,Reclaimed Davis-Monthan
67,44-61943,,7/511945,4141BU,,9/2211953,Reclaimed Pyote
67,44-61944,CIRCLE,Z 7/711945,90RCN,,9/8/1953,Reclaimed Davis-Monthan
67,44-61945,SQUARE,V,55RCN,,411211951,Surveyed
67,44-61946,,7/611945,4136BU,,1111711953,Surveyed Hill
67,44-61947,SQUARE! GYPSY,7/611945 7/611945,91SRC 91SRP,,8/1911954 711411954,Reclaimed Kelly Reclaimed
68,44-61948,SHEER MADNESS,BLKSTRP 7/6/1945,19BG,,7/14/1954,Reclaimed McClellan
68,44-61949,,7/6/1945,4127BU,,3/25/1953,Reclaimed McClellan
68,44-61950,,CIRCLEEBLU 7/6/1945,22BG,,7/14/1954,Reclaimed
68,44-61951,OURI:LASS,CIRCLE W 7/6/1945,92BG,,8/26/1954,Reclaimed
68,44-61951,OURI:LASS,SQUARE! 7/6/1945,91RCN,,10/00/50,Transferred to 91RCN when 92nd rotated
68,44-61951,,CIRCLEX 7/6/1945,91RCN,,8/26/1954,Reclaimed
68,44-61952,,,,,7/20/1951,Transferred to RAF
68,44-61952,,7/20/1951,RAF,,2/27/1954,Returned to USAF
68,44-61952,,2/27/1954,USAF,,9/8/1954,Reclaimed Davis-Monthan
68,44-61953,,SQUAREH 7/6/1945,98BG,,6/17/1954,Class 26 Sheppard
68,44-61954,,CIRCLEE 7/7/1945,22BG,,9/9/1954,Salvaged at Davis-Monthan
68,44-61955,,7/7/1945,4141BU,,9/22/1953,Reclaimed Pyote
68,44-61956,,SQUAREV 7/9/1945,55RCN,,9/22/1953,Reclaimed Pyote
68,44-61957,,BLKSTRPGRN 7/7/1945,19BG,,9/28/1954,Reclaimed McClellan
68,44-61958,,7/10/1945,310BW,,6/17/1953,Reclaimed Davis-Monthan
68,44-61959,,7/1111945,308BW,,11/9/1953,Reclaimed Randolph
68,44-61960,MARYLOU,BLKSQF 7/9/1945,611BEXP,,8/19/1954,Reclaimed Kelly
68,44-61961,,SQUARE! 7/10/1945,91RCN,,8/19/1954,Reclaimed Kelly
68,44-61962,,CIRCLEM 7/10/1945,93BG,,5/111950,Salvaged at Kelly
68,44-61963,,,,,7/3/1951,Transferred to RAF
68,44-61963,,7/3/1951,RAF,,10/111957,Scrapped england
68,44-61964,,7/9/1945,54WRS,,5/24/1954,Reclaimed McClellan
68,44-61965,,CIRCLEZ 7/16/1945,90RCN,,7/27/1953,Reclaimed Davis-Monthan
68,44-61966,RAIDEN MAIDEN,47 7/10/1945,468BG,,6/17/1953,Reclaimed Davis-Monthan
68,44-61967,,BLKSTRPBLU,19BG,,6/10/1952,Missing over North Korea
68,44-61968,,,,,7/22/1951,Transferred to RAF
68,44-61968,,7/22/1951,RAF,,7/29/1955,Scrapped England
68,44-61969,,TSQll (3),498BG,,6/4/1951,Transferred to RAF
68,44-61969,,6/4/1951,RAF,,119/1954,Returned to USAF
